longitude,latitude,SOC,Slope,Biomass,Precipitation,TPI,Temperature,NPP,SolarRadiation,WindSpeed,SinAspect,CosAspect,hex_id,foldID
-2188461.724,2646436.372,5.813333333,0.017512606,3.542705384,3.803247004,6.014283137,-0.021963115,2.300460106,-1.513597122,0.452295966,-0.834704214,-1.12886347,259,2
1830568.655,2422098.563,1.41,1.664147941,2.244044975,0.780850895,0.296436966,-0.627332446,2.291116982,-0.605770181,-1.106630553,0.157472574,1.417884417,5536,4
554468.7042,2694532.646,1.997333333,-0.01134686,1.031174901,0.159229238,0.497898471,-1.275441039,2.287920424,-1.153351347,2.197819272,-1.422819644,-0.212624669,3889,4
-2162381.96,2597443.14,3.678666667,2.25583142,2.372477397,0.935889168,-0.049908187,0.175177105,2.273184959,-1.245917813,-0.230662707,-1.32407039,-0.539114418,324,2
-2105068.78,2851346.297,5.094,1.767394826,4.643316383,3.870438974,-2.258003314,-0.250590787,2.270533382,-2.072261655,0.650229527,-1.070303764,0.971428885,393,1
1928683.743,2284984.538,4.868333333,-0.391425952,2.036459127,1.256681887,-0.281897032,-0.131149645,2.263314865,-0.756152134,1.740972424,-1.41519026,0.29984778,5699,2
651930.551,863109.5343,0.585666667,-0.513907016,0.219025816,2.126578415,0.161839489,1.883231277,2.255587386,0.17266038,0.262430208,-1.130346304,0.902181036,4000,5
1560095.291,1361147.576,0.522,-0.579665852,0.411787487,1.346694248,-0.077687629,1.36063349,2.25340961,-0.074978768,1.358039197,0.137795403,1.420179952,5194,4
2007399.278,2543986.613,2.833333333,-0.162549368,1.570684785,1.149785596,-0.179322191,-0.608132186,2.250300953,-0.536512859,1.226603905,0.647417874,-1.218445471,5768,5
1834019.73,2423675.96,2.2,0.681708035,1.848198669,0.916982176,2.497567926,-0.756443058,2.245471171,-0.590975404,-1.060079449,-1.407120786,-0.290337364,5536,4
1331306.957,1799823.746,3.212666667,0.220516851,1.934199668,1.463224656,-0.326241582,-0.173368403,2.244118798,-0.245701217,1.06093931,-0.239342228,1.41190434,4869,3
1834206.638,2409949.342,6.075666667,1.393248203,2.352652917,1.118631113,-0.925354752,-0.739827845,2.237567892,-0.761252196,-1.072242435,1.402015224,0.100826285,5536,4
1870568.765,2379428.053,2.43,-0.026276974,1.381354464,1.325549561,1.213002759,-0.724592161,2.220865611,-0.377020716,0.88749689,1.18122433,-0.731873556,5634,5
